StockCode,Description,TotalQuantity,TotalRevenue
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54319.0,13558.410000000016
22197,POPCORN HOLDER,49160.0,37206.87999999997
85099B,JUMBO BAG RED RETROSPOT,46078.0,85040.53999999978
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36763.0,100547.4500000001
84879,ASSORTED COLOUR BIRD ORNAMENT,35263.0,56413.030000000304
21212,PACK OF 72 RETROSPOT CAKE CASES,33670.0,16381.879999999957
23084,RABBIT NIGHT LIGHT,27153.0,51251.239999999845
22492,MINI PAINT SET VINTAGE ,26076.0,16039.240000000005
22616,PACK OF 12 LONDON TISSUES ,25329.0,7261.770000000002
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24230.0,11610.999999999987
